Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Phinney Av N / N 39th St,Motor Vehicle Accident,11/09/2011 10:04:00 PM +0000,47.654152,-122.354466,"(47.654152, -122.354466)",F110104134
Nb I5 At Spring,Motor Vehicle Accident Freeway,11/09/2011 07:04:00 PM +0000,47.607213,-122.329728,"(47.607213, -122.329728)",F110104079
M L King Jr Way S / S Othello St,Motor Vehicle Accident,11/09/2011 04:23:00 AM +0000,47.537042,-122.281293,"(47.537042, -122.281293)",F110103940
PHINNEY AV N / N 46TH ST,Motor Vehicle Accident,11/09/2011 03:32:00 AM +0000,47.662141,-122.353981,"(47.662141, -122.353981)",F110103930
Eb I90 Exp At Midspan,Motor Vehicle Accident Freeway,11/09/2011 01:49:00 AM +0000,47.589708,-122.268127,"(47.589708, -122.268127)",M110103892
32nd Av S / S Graham St,Motor Vehicle Accident,11/08/2011 11:12:00 PM +0000,47.546136,-122.291552,"(47.546136, -122.291552)",F110103848
Nb I5 At Albro,Motor Vehicle Accident Freeway,11/08/2011 10:53:00 PM +0000,47.548716,-122.311984,"(47.548716, -122.311984)",F110103838
23rd Av E / E Roy St,Motor Vehicle Accident,11/08/2011 05:37:00 PM +0000,47.6252,-122.30242,"(47.6252, -122.30242)",F110103764
Cedar St / 3rd Av,Motor Vehicle Accident,11/08/2011 04:07:00 PM +0000,47.617131,-122.348898,"(47.617131, -122.348898)",F110103739
Columbia St / Western Av,Motor Vehicle Accident,11/08/2011 02:15:00 PM +0000,47.602804,-122.336044,"(47.602804, -122.336044)",F110103717
14th Av Nw / Nw Market St,Motor Vehicle Accident,11/08/2011 01:17:00 AM +0000,47.668665,-122.373589,"(47.668665, -122.373589)",F110103592
University Br,Motor Vehicle Accident,11/07/2011 09:26:00 PM +0000,47.652964,-122.320204,"(47.652964, -122.320204)",F110103533
Rainier Av S / S Mcclellan St,Motor Vehicle Accident,11/07/2011 08:33:00 PM +0000,47.57835,-122.298151,"(47.57835, -122.298151)",F110103516
Ne 110th St / Exeter Av Ne,Motor Vehicle Accident,11/07/2011 02:08:00 AM +0000,47.709433,-122.277728,"(47.709433, -122.277728)",F110103337
15th Av W / Gilman Dr W,Motor Vehicle Accident,11/07/2011 01:01:00 AM +0000,47.642944,-122.37617,"(47.642944, -122.37617)",F110103316
