date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1900-07-2906:59:00.00,-10.000,165.000,,,,C,0.0,25.0,C,7.58,0.66,C,p,,,,,,,,,,16957713
1900-10-0912:28:00.00,60.000,-142.000,,,,C,0.0,3.8,C,7.69,0.68,C,p,,,,,,,,,,16957718
1900-10-2909:11:00.00,11.000,-66.000,,,,C,0.0,2.8,C,7.69,0.68,C,p,,,,,,,,,,16957719
1901-08-0913:01:00.00,-22.000,170.000,,,,C,0.0,11.1,C,7.92,0.71,C,p,,,,,,,,,,16957737
1901-08-0918:33:00.00,40.000,144.000,,,,C,0.0,6.1,C,7.47,0.65,C,p,,,,,,,,,,16957736
1902-04-1902:23:00.00,14.000,-91.000,,,,C,0.0,23.5,C,7.47,0.65,C,p,,,,,,,,,,16957763
1902-08-2203:00:00.00,40.000,77.000,,,,C,0.0,13.6,C,7.69,0.68,C,p,,,,,,,,,,16957769
1902-09-2201:46:00.00,18.000,146.000,,,,C,0.0,43.6,C,7.47,0.65,C,p,,,,,,,,,,16957777
1902-09-2320:18:00.00,16.000,-93.000,,,,C,0.0,20.2,C,7.81,0.69,C,p,,,,,,,,,,16957778
1903-01-1401:47:00.00,15.000,-98.000,,,,C,0.0,25.0,C,7.69,0.68,C,p,,,,,,,,,,16957788
1904-06-2521:00:37.58,52.864,160.445,35.3,24.1,59.0,C,30.0,10.3,C,7.70,0.40,C,d,5.10,20,bibliog,,,,,,,16957819
1905-04-0400:49:59.48,32.636,76.788,20.6,9.8,32.7,C,20.0,25.0,C,7.90,0.40,C,d,8.50,20,bibliog,,,,,,,16957848
1905-07-0909:40:39.79,49.709,98.483,19.9,11.2,28.4,C,15.0,25.0,C,8.30,0.40,C,d,3.00,21,bibliog,,,,,,,16957859
1905-07-2302:46:22.92,49.369,96.610,26.0,15.8,26.1,B,15.0,25.0,C,8.30,0.40,C,d,3.00,21,bibliog,,,,,,,16957865
1905-09-0801:43:02.24,38.636,15.784,16.4,12.5,142.2,C,15.0,6.7,C,7.16,0.70,C,p,,,,,,,,,,16957871
1905-12-0412:20:07.96,37.216,38.830,67.6,11.3,178.4,C,15.0,5.6,C,5.56,0.63,C,p,,,,,,,,,,16957879
1906-01-2113:49:33.81,34.167,138.101,14.3,11.4,145.8,C,300.0,25.0,C,7.40,0.30,B,d,1.50,20,bibliog,,,,,,,16957883
1906-04-1813:12:27.11,38.056,-122.403,35.6,14.8,1.5,C,10.0,5.1,C,7.70,0.30,B,d,5.00,20,bibliog,,,,,,,16957905
1906-08-1700:11:10.50,51.853,178.180,17.3,13.1,89.9,C,110.0,34.5,C,8.30,0.20,B,d,3.80,21,bibliog,,,,,,,16957912
1906-12-2218:21:11.10,44.284,85.572,21.7,9.8,29.1,B,15.0,25.0,C,7.76,0.53,C,p,,,,,,,,,,16957935
1907-01-0405:19:11.80,1.873,94.209,28.5,15.6,30.6,C,15.0,25.0,C,7.80,0.30,B,d,5.90,20,bibliog,,,,,,,16957943
1907-04-1506:08:25.34,16.513,-97.304,30.5,18.6,151.8,C,30.0,12.5,C,7.80,0.40,C,d,5.90,20,bibliog,,,,,,,16957951
1907-05-0405:51:01.65,-6.708,152.821,43.0,18.5,14.9,C,25.0,9.8,C,6.63,0.20,B,p,,,,,,,,,,16957956
1907-10-2104:23:43.83,39.179,70.585,30.8,13.0,28.5,C,20.0,9.9,C,7.41,0.47,C,p,,,,,,,,,,16957975
1908-02-0918:13:17.58,29.278,100.656,51.1,17.9,28.2,C,15.0,25.0,C,6.69,0.20,C,p,,,,,,,,,,16957984
1908-12-1212:54:57.27,26.948,96.773,45.5,15.0,15.3,C,15.0,9.0,C,6.95,0.20,C,p,,,,,,,,,,16958007
1908-12-2804:20:26.62,38.000,15.349,14.6,11.0,27.6,C,15.0,6.0,C,7.03,0.37,C,p,,,,,,,,,,16958009
1909-03-1314:29:00.92,35.407,142.290,22.8,12.9,140.0,C,15.0,35.3,C,7.11,0.20,B,p,,,,,,,,,,16958018
1909-07-0721:37:47.11,35.387,70.251,34.4,10.5,34.3,C,200.0,14.6,C,7.70,0.40,C,d,4.50,20,bibliog,,,,,,,16958043
1909-07-3010:51:51.73,16.471,-99.427,25.7,18.1,109.8,C,20.0,10.5,C,7.50,0.40,C,d,2.48,20,bibliog,,,,,,,16958045
1909-10-2023:41:22.94,28.074,69.333,32.0,11.0,28.4,C,35.0,25.0,C,7.00,0.20,B,p,,,,,,,,,,16958054
1910-04-1200:22:24.22,25.911,123.973,20.9,11.1,60.9,B,235.0,15.7,C,8.10,0.40,C,d,1.70,21,bibliog,,,,,,,16958079
1910-06-1606:30:43.13,-19.572,169.438,20.9,14.1,130.6,C,100.0,58.0,C,7.85,0.20,C,p,,,,,,,,,,16958089
1910-11-0906:02:00.69,-16.289,166.904,26.7,16.7,141.5,C,20.0,16.6,C,7.31,0.46,C,p,,,,,,,,,,16958113
1910-12-1614:44:55.88,4.685,126.051,28.3,11.9,65.7,C,15.0,43.9,C,7.61,0.20,C,p,,,,,,,,,,16958127
1911-01-0110:18:01.43,37.334,66.571,33.6,11.5,18.3,C,35.0,25.0,C,6.69,0.23,B,p,,,,,,,,,,16958129
1911-01-0323:25:48.71,43.013,78.530,22.0,8.1,28.3,B,20.0,3.2,C,7.70,0.30,B,d,4.90,20,bibliog,,,,,,,16958130
1911-02-1818:41:09.00,38.331,72.628,33.3,11.6,12.5,C,15.0,26.4,C,7.26,0.31,C,p,,,,,,,,,,16958134
